Markx,StationLines,subway,BannerFileName,TrainsbyStopID,Boro,StopID
,Burnside Av - 4,Burnside Av,Undefined,4,The Bronx,409N
,Bushwick Av-Aberdeen St - L,Bushwick Av-Aberdeen St,Undefined,L,Brooklyn,L21N
,Canal St - 1,Canal St,Undefined,1,Manhattan,135N
,Canal St - 6,Canal St,Undefined,6,Manhattan,639N
,Canal St - ACE,Canal St,Undefined,ACE,Manhattan,A34N
,Canal St - JZ,Canal St,Undefined,JZ,Manhattan,M20N
,Canal St - NQRW,Canal St,Undefined,NQRW,Manhattan,R23N
,Canal St - NQRW,Canal St,Undefined,NQRW,Manhattan,Q01N
,Canarsie-Rockaway Pkwy - L,Canarsie-Rockaway Pkwy,Undefined,L,Brooklyn,L29N
,Carroll St - FG,Carroll St,Undefined,FG,Brooklyn,F21N
,Castle Hill Av - 6,Castle Hill Av,Undefined,6,The Bronx,607N
,Cathedral Pkwy (110 St) - 1,Cathedral Pkwy (110 St),Undefined,1,Manhattan,118N
,Cathedral Pkwy (110 St) - BC,Cathedral Pkwy (110 St),Undefined,BC,Manhattan,A17N
,Central Av - M,Central Av,Undefined,M,Brooklyn,M10N
,Central Park North (110 St) - 23,Central Park North (110 St),Undefined,23,Manhattan,227N
,Chambers St - 123,Chambers St,Undefined,123,Manhattan,137N
,Chambers St - AC,Chambers St,Undefined,AC,Manhattan,A36N
,Chambers St - JZ,Chambers St,Undefined,JZ,Manhattan,M21N
,Chauncey St - JZ,Chauncey St,Undefined,JZ,Brooklyn,J28N
,Christopher St-Sheridan Sq - 1,Christopher St-Sheridan Sq,Undefined,1,Manhattan,133N
,Church Av - 25,Church Av,Undefined,25,Brooklyn,244N
